name,classification,health,attack_strength,drops,location,link,description
Creeper,Hostile,20 (x 10),Easy:25 (x 12.5)Normal:49 (x 24.5)Hard:73 (x 36.5),Gunpowder(0-2)Music Discs(When killed by a skeleton),"Overworld(where light level is 7 or less, but not on transparent blocks)",https://minecraft-archive.fandom.com/wiki/Creeper,"CreepersinMinecraftare one of the most unique and iconichostilemobsfound within the game. A creeper can easily be recognized by its tall vertical structure (roughly the size of a player), its pixelated body covered in a range of greens to whites, and its four legs. It is one of the most dangerous..."
Ghast,Hostile,10 (),Varies by distance from Ghast and distance from center of explosion.Maximum damage:17 (x 8.5),Ghast Tear(0-1)Gunpowder(0-2),Nether WastesSoul Sand Valley,https://minecraft-archive.fandom.com/wiki/Ghast,"Ghastsare hostile,Netherdwellingmobsthat float around and shoot explosive fireballs at players. Ghasts are cube-shaped with 9 large tentacles hanging beneath them, and their main body is an exact 4x4x4 block cube, but despite their ghost-like appearance and their ability to move through other mob..."
Magma Cube,Hostile,Big:16 (x 8)Medium:8 ()Tiny:2 (),Big:6 ()Medium:4 ()Tiny:3 (),Magma Cream(0-1) (only medium and large),"The Nether, and in theBasalt DeltaBiomesinthe nether.",https://minecraft-archive.fandom.com/wiki/Magma_Cube,"Amagma cubeis a hostilemobfound inthe Nether. They are most commonly found nearNether Fortressesand Basalt Deltas. When they move, they jump and momentarily unravel into eight layers, giving them the appearance of a spring while revealing a yellow core inside."
Silverfish,Hostile,8 HP (4x ),1,Nothing,After mining block 97 in mountains biomes or from spawners in strongholds,https://minecraft-archive.fandom.com/wiki/Silverfish,"Silverfishare small, bug-like hostilemobsthat have silver skin, black eyes, and hide inmonster eggsfound instrongholds, and underground inside of themountains(Extreme Hills) biome."
Skeleton,Hostile,20 (x 10),Ranged2 ():Easy3 ():Normal4 ():HardMelee1 ():Easy2 ():Normal3 ():Hard,"Common Drops0-2Bone0-2ArrowRare DropsNaturally-spawned equipment (including the bow, 8.5% chance)Skeleton Head(if killed by acharged creeper)","Light level <7, on solid blocks, 20% of time in Nether Fortresses in light levels of 7 or less in place of the Wither Skeleton.Soul Sand Valley",https://minecraft-archive.fandom.com/wiki/Skeleton,"ASkeletonis a commonhostilemobthat shoots arrows and drops 0-2bones, 0-2arrows,armor(if equipped), and/or abow(most likely used, however, there is a small chance a bow may beenchanted). They are primary ranged mobs that the player encounters while in the overworld. Skeletons (before 1.13) are cur..."
Slime,Hostile,Big:16 (x 8)Small:4 ()Tiny:1 (),Big:4 ()Small:2 ()Tiny:0 (),Slimeball(0-2)(Can only be dropped by tiny slimes),"In 10% of chunks called ""Slime Chunks"" below level 40,in swamps,or in superflat worlds",https://minecraft-archive.fandom.com/wiki/Slime,"Aslimeis a rarehostilemob, which can spawn in three different sizes: big, small, or tiny. A slime will split into two smaller slimes when killed unless the slime is already the smallest size."
Spider Jockey,Hostile,Skeleton:20 (x 10)Spider:16 (x 8),Contact:3 (),"Bones,String,Bow,Arrows,Spider Eye,Armor(if equipped)","Light level of 7 or less, anywhere, but slabs or glass",https://minecraft-archive.fandom.com/wiki/Spider_Jockey,ASpider Jockeyis a rare hostilemobthat consists of askeletonorWither SkeletonorStrayriding aspiderorcave spider.
Zombie,Hostile,20 (x 10),Easy2 ()Normal3 ()Hard4 (),Common Drops0–2Rotten FleshRare DropsIron IngotorCarrotorPotato(2.5% chance)Zombie Head(when killed by acharged creeper)Naturally-spawned equipment (8.5% chance),"In theOverworld, at alightlevel of 7 or less",https://minecraft-archive.fandom.com/wiki/Zombie,"Zombiesare melee,hostilemobsthat spawn in areas with a light level of 7 or less. They are found within nearly allMinecraftbiomesand burn in the daylight."
Zombie Villager,Hostile,20,Easy: 2Normal: 3Hard: 4,"Rotten Flesh,Iron Ingots,Carrots,Potatos, any naturally spawned equipment,Pumpkins/Jack o' Lanterns",When aZombiekills aVillagerand as inhabitants in ZombieVillages,https://minecraft-archive.fandom.com/wiki/Zombie_Villager,Azombie villageris a variant ofzombiethat has a chance to spawn when a zombie kills avillager(while not on Easy mode).
Drowned,Hostile,20 (10 hearts),,"Copper Ingot(0-1)(as of snapshot 21w05a),Gold Ingot(0-1) (before snapshot 21w05a)Rotten Flesh,Trident",,https://minecraft-archive.fandom.com/wiki/Drowned,"Drownedare hostile, underwater variants of thezombiethat were added toMinecraftas part of1.13 - The Update Aquatic. They can spawn naturally in bodies of water such asoceansor rivers, or when a zombie is submerged underwater for 30 seconds. They are the only source oftridents."
Wither Skeleton,Hostile,20 (x 10),Easy:5 ()Normal:8 ()Hard:12 (x 6),Common0-1Coal0-2BoneUncommonStone SwordRareWither Skeleton Head- 2% chance,Nether Fortress,https://minecraft-archive.fandom.com/wiki/Wither_Skeleton,"Wither Skeletonsare raremobsthat can be found inthe Nether, mainly inNether fortresses. They were released in theThe Pretty Scary Update(1.4.2)."
Witch,Hostile,30 (x 15),5-20 Hearts,Up to 6 (in all of the following):Glass BottleGlowstone DustGunpowderRedstoneSpider EyeStickSugarUp to 1 of eitherInstant Health PotionRegeneration PotionFire Resistance PotionWater Breathing PotionPotion of Swiftness(one at a time),Overworld,https://minecraft-archive.fandom.com/wiki/Witch,"AWitchis a ranged mob added in1.4.2 - The Pretty Scary Update.[1]Witches are hostile and are found mostly inswamp biomeswandering around their houses. When a witch gets hit by a player, they begin to viciously attack them withsplash potions. Witches also can regenerate health. It fires splash pot..."
Vindicator,Hostile,24 (x 12),Easy:7 ()Normal:13 (x 6.5)Hard:19 (x 9.5),EmeraldIron Axe,Woodland Mansion,https://minecraft-archive.fandom.com/wiki/Vindicator,"Vindicatorsare hostile, humanoid,villager-shapedmobsthat can be found in theOverworldinsidewoodland mansionsand in raids. They are one of five types ofIllagers(which is an abreviation for ""ill-willing villagers""), the other four being theillusioner,evoker,pillager, andravager."
Evoker,Hostile,24 (x 12),6 ()(Fangs),Emerald(Looting only)Totem of Undying,"Woodland Mansion,Raids",https://minecraft-archive.fandom.com/wiki/Evoker,"AnEvokeris a hostile, humanoidmobfound in theOverworld. They are one of five types ofIllagers(short for ""ill-willingvillagers""), the other four being theIllusioner, theVindicator, thePillager, and theRavager."
Pillager,Hostile,24 (x 12),RangedEasy:4 ()Normal:6 ()Hard:10 ()MeleeNormal:6 (),Crossbow(0–1)Emerald(0–1) (Java Edition)Arrow(0–2) (Bedrock Edition)Enchanted Book(0-1),,https://minecraft-archive.fandom.com/wiki/Pillager,"Pillagersare hostileIllagervariants that are armed with a powerfulcrossbow. Pillagers were officially described as a new type of Illager. They are found patrolling the world in groups, raids and inpillager outposts. They will see and pursuevillagersfrom up to 100 blocks away. They will spawn in p..."
Ravager,Hostile,100 (x 50),Easy:5 ()Normal:10 ()Hard:18 (x 9)Roar (Attack): up to8 (),Saddle(0-1),"Spawns withPillagers, but not in patrol groups",https://minecraft-archive.fandom.com/wiki/Ravager,Aravager(Formerly known as anillager beast) is ahostilemobthat joins pillagers inraids.[1]They are one of the strongest and most dangerous mobs in the game.
Vex,Hostile,14 (x 7),Easy:Normal:Hard:x 6.5,Usually nothing(1% chance of anIron Swordif using theLootingenchant),Woodland Mansion,https://minecraft-archive.fandom.com/wiki/Vex,"AVexis a small, flying, hostilemobthat can be summoned by anevoker."
Evocation Fang,Hostile,,,None,Evoker attacks;Overworld(if naturally spawned),https://minecraft-archive.fandom.com/wiki/Evocation_Fang,"TheEvoker Fangis an untouchableEntitythat deals  damage, and was added in the1.11update. It's exclusively summoned byEvokersas one of their attack methods. If aplayeris close to the evoker, the fangs will spawn in two circles, otherwise, they will spawn in a straight line. The inner spikes snap s..."
Chicken Jockey,Hostile,Baby Zombie20 (x 10)Chicken4 (),Easy4 ()Normal6 ()Hard8 (),"0-2 feathers, 1 raw chicken, (1 cooked chicken if killed while on fire) an iron ingot, a potato, a carrot, and a zombie head if killed by a Charged Creeper.","Light level >7, on a solid block",https://minecraft-archive.fandom.com/wiki/Chicken_Jockey,"AChicken Jockeyis a very rarehostilemob, which consists of a babyZombie,Zombie Villager,Zombified Piglin,Husk, orDrownedriding aChicken. TheySpawnabout 1% of the time in place of a zombie and its variants. This mob is very similar to aWolf Jockey."
Piglin Brute,Hostile,50 (x 25),Easy: 5 ()Normal: 10 ()Hard: 15 (x 7.5),Gold Axe,Bastion Remnant,https://minecraft-archive.fandom.com/wiki/Piglin_Brute,"ThePiglin Brute(also calledBrute) is ahostilemobadded inJava Edition1.16.2andBedrock Edition1.16.20. It spawns inbastion remnantsto protectchests. It wields agoldenaxeand will attack theplayer, even if they are wearing goldarmor. It appears to wear dark clothes and gold accessories and has a scar..."
Hoglin,Hostile,40 (x 20),Easy: 2 () - 5 ()Normal: 3 () - () 8Hard: 4 () - 12 (x 6),LeatherRaw PorkchopSword w/ Fire Aspect or burnt to deathCooked Porkchop,Crimson Forest,https://minecraft-archive.fandom.com/wiki/Hoglin,"Baby HoglinUnriddenRiddenMultiple RidersZoglinHealth Points40 (x 20)BehaviorHostile, but passive when attackedAttack Strength1 ()LocationCrimson ForestFirst Appearance1.16 - Nether Update(20w07a)Experience Points5Technical Nameminecraft:babyhoglin"
Zoglin,Hostile,40 (x 20),Easy:2 () - 5 ()Normal:3 () - 8 ()Hard:4 () -12 (x 6),1-3Rotten Flesh,From Hoglins coming in contact with the Overworld.,https://minecraft-archive.fandom.com/wiki/Zoglin,This article is a stub. You can help the Minecraft Wiki byexpandingthis article.
Endermite,Hostile,8 (),2 (),Nothing,5% chance of spawning when a player throws anEnder Pearlor when an enderman teleports.,https://minecraft-archive.fandom.com/wiki/Endermite,"Endermites are similar tosilverfish, except they are smaller, more cube-like, and purple. An Endermite will occasionallyspawnwhen a player throws anEnder pearl(1/20 chance). It will repeatedly attack the player, dealing  (1 heart) of damage per hit. If it is killed by a player or a tamedwolf, it ..."
Guardian,Hostile,30 (x 15),Easy4 ()Normal6 ()Hard9 (),Raw CodClownfishPufferfishSalmonPrismarine CrystalPrismarine Shard,Underwater,https://minecraft-archive.fandom.com/wiki/Guardian,TheGuardianis a hostilemobthat can only spawn underwater inside or aroundocean monuments. Its eye will always look toward a nearby player or asquid. There is a mini-boss variant called theelder guardian.
Elder Guardian,Hostile,80 (x 40),,0-2Prismarine Shard1Wet Sponge1Raw Cod/ 1Prismarine Crystal/ Nothinga random fish,Ocean Monument,https://minecraft-archive.fandom.com/wiki/Elder_Guardian,"TheElder Guardianis a boss mob that only spawns underwater, inside of or nearocean monuments. It is a stronger version of theguardian."
Shulker,Hostile,30 HP (15x ),2 ()+ Levitation,Shulker Shell,Spawns in End Cities,https://minecraft-archive.fandom.com/wiki/Shulker,"Shulkers(the portmanteau of shell and lurkers) arehostilemobsa player can encounter, as of theThe Combat Update. They appear only in anEnd City, and don't spawn naturally again."
Husk,Hostile,20 (x 10),Easy:2 ()Medium:3 ()Hard:4 ()also includes food poisoning,Rotten FleshArmorWeaponIron IngotPotatoCarrot,Desert Biome,https://minecraft-archive.fandom.com/wiki/Husk,This article is a stub. You can help the Minecraft Wiki byexpandingthis article.
Stray,Hostile,20,"Easy: 1-5,Medium: 2,Hard: 2-5",BoneArrow(including Arrows ofSlowness)Bow,"Cold Biomes, i.e.Ice Plains,Taigaetc.",https://minecraft-archive.fandom.com/wiki/Stray,AStrayis a variation of theskeletonmobthat is usually found only in coldbiomes. They were introduced alongside thepolar bearandhuskmobs.
Ender Dragon,Boss,200 (x 100),15 (x 7.5),"12,000 xp (activates Exit Portal and spawns a Dragon Egg there)",The End,https://minecraft-archive.fandom.com/wiki/Ender_Dragon,"TheEnder Dragonis ahostilebossmobthat appears inthe Enddimension and is also acknowledged as the main antagonist and final boss ofMinecraft. The Ender Dragon is a large dragon that breathes fire, spits fireballs, and can fly with great ease and maneuverability."
